timestamp(KST),open,high,low,close,volume
2025-03-03 12:28:00,3631000,3637000,3630000,3634000,11.92559844
2025-03-03 12:29:00,3634000,3639000,3634000,3635000,21.60551329
2025-03-03 12:30:00,3635000,3641000,3634000,3638000,90.72984908
2025-03-03 12:31:00,3638000,3640000,3634000,3638000,54.14264876
2025-03-03 12:32:00,3638000,3638000,3633000,3638000,21.11915439
2025-03-03 12:33:00,3639000,3645000,3639000,3644000,15.40951473
2025-03-03 12:34:00,3645000,3649000,3640000,3649000,84.84904858
2025-03-03 12:35:00,3649000,3649000,3644000,3646000,18.8356603
2025-03-03 12:36:00,3646000,3649000,3646000,3646000,12.37575536
2025-03-03 12:37:00,3649000,3650000,3647000,3647000,37.41308218
2025-03-03 12:38:00,3649000,3650000,3646000,3650000,19.96533579
2025-03-03 12:39:00,3650000,3650000,3646000,3646000,11.35712093
2025-03-03 12:40:00,3646000,3649000,3646000,3648000,9.10139799
2025-03-03 12:41:00,3648000,3648000,3641000,3643000,39.14814299
2025-03-03 12:42:00,3643000,3643000,3636000,3639000,43.27984004
2025-03-03 12:43:00,3639000,3639000,3634000,3635000,20.07757442
2025-03-03 12:44:00,3636000,3636000,3630000,3633000,16.93177728
2025-03-03 12:45:00,3631000,3637000,3631000,3637000,24.77644975
2025-03-03 12:46:00,3638000,3642000,3636000,3641000,4.68281873
2025-03-03 12:47:00,3642000,3646000,3639000,3645000,17.9959207
2025-03-03 12:48:00,3645000,3645000,3640000,3643000,7.66229538
2025-03-03 12:49:00,3645000,3646000,3643000,3646000,6.46754315
2025-03-03 12:50:00,3645000,3646000,3644000,3646000,8.1928094
2025-03-03 12:51:00,3647000,3656000,3646000,3649000,124.94686671
2025-03-03 12:52:00,3650000,3651000,3645000,3651000,42.44980916
2025-03-03 12:53:00,3651000,3654000,3647000,3648000,12.83315985
2025-03-03 12:54:00,3650000,3653000,3648000,3649000,47.6373972
2025-03-03 12:55:00,3652000,3655000,3647000,3651000,30.2125198
2025-03-03 12:56:00,3651000,3652000,3648000,3650000,6.94918919
2025-03-03 12:57:00,3650000,3652000,3649000,3652000,10.91757375
2025-03-03 12:58:00,3652000,3653000,3651000,3652000,18.57144987
2025-03-03 12:59:00,3653000,3653000,3652000,3653000,11.16369575
2025-03-03 13:00:00,3653000,3654000,3652000,3654000,8.65976852
2025-03-03 13:01:00,3654000,3655000,3651000,3654000,6.67148187
2025-03-03 13:02:00,3654000,3654000,3651000,3652000,33.20376028
2025-03-03 13:03:00,3652000,3654000,3652000,3652000,15.60198341
2025-03-03 13:04:00,3652000,3654000,3651000,3651000,11.49593619
2025-03-03 13:05:00,3653000,3653000,3650000,3650000,13.27600618
2025-03-03 13:06:00,3651000,3651000,3648000,3651000,32.66119583
2025-03-03 13:07:00,3651000,3651000,3648000,3648000,15.01213383
2025-03-03 13:08:00,3648000,3649000,3645000,3648000,19.96936083
2025-03-03 13:09:00,3646000,3648000,3645000,3647000,2.94837095
2025-03-03 13:10:00,3647000,3649000,3647000,3647000,15.10106998
2025-03-03 13:11:00,3649000,3649000,3646000,3649000,12.52615574
2025-03-03 13:12:00,3649000,3651000,3645000,3645000,26.11278417
2025-03-03 13:13:00,3646000,3650000,3645000,3648000,9.21033221
2025-03-03 13:14:00,3648000,3648000,3644000,3644000,14.44731846
2025-03-03 13:15:00,3644000,3645000,3643000,3643000,33.11549364
2025-03-03 13:16:00,3645000,3645000,3640000,3643000,13.41281564
2025-03-03 13:17:00,3643000,3651000,3643000,3647000,21.04378271
2025-03-03 13:18:00,3647000,3651000,3647000,3649000,10.6888659
2025-03-03 13:19:00,3650000,3651000,3649000,3651000,16.5344985
2025-03-03 13:20:00,3651000,3655000,3649000,3655000,45.23364148
2025-03-03 13:21:00,3655000,3657000,3653000,3657000,22.82207082
2025-03-03 13:22:00,3657000,3659000,3655000,3656000,10.09686256
2025-03-03 13:23:00,3656000,3660000,3655000,3659000,22.2105485
2025-03-03 13:24:00,3660000,3663000,3658000,3660000,44.04591824
2025-03-03 13:25:00,3660000,3662000,3658000,3658000,25.72446083
2025-03-03 13:26:00,3658000,3658000,3655000,3656000,12.7007042
2025-03-03 13:27:00,3655000,3655000,3653000,3653000,49.682903
2025-03-03 13:28:00,3653000,3653000,3652000,3653000,21.81468715
2025-03-03 13:29:00,3653000,3653000,3652000,3653000,14.10556217
