timestamp,date_time,open_price,high_price,low_price,trade_price,volume
1741889667000,2025-03-14T03:14:27,120151000,120151000,120151000,120151000,0.025
1741889668000,2025-03-14T03:14:28,120151000,120151000,120151000,120151000,0.00416144
1741889669000,2025-03-14T03:14:29,120151000,120151000,120151000,120151000,0.05854066
1741889671000,2025-03-14T03:14:31,120152000,120152000,120152000,120152000,0.00835422
1741889676000,2025-03-14T03:14:36,120151000,120152000,120151000,120152000,0.05186384
1741889677000,2025-03-14T03:14:37,120164000,120170000,120164000,120170000,0.0020416
1741889679000,2025-03-14T03:14:39,120170000,120170000,120170000,120170000,0.00016643
1741889681000,2025-03-14T03:14:41,120152000,120152000,120152000,120152000,0.0148
1741889682000,2025-03-14T03:14:42,120170000,120170000,120170000,120170000,0.07048164
1741889683000,2025-03-14T03:14:43,120170000,120170000,120170000,120170000,0.21120387
1741889685000,2025-03-14T03:14:45,120154000,120154000,120152000,120152000,0.05436086
1741889687000,2025-03-14T03:14:47,120151000,120151000,120151000,120151000,0.0886
1741889688000,2025-03-14T03:14:48,120151000,120151000,120149000,120149000,0.19602019
1741889690000,2025-03-14T03:14:50,120100000,120100000,120100000,120100000,0.00008336
1741889691000,2025-03-14T03:14:51,120152000,120152000,120152000,120152000,0.00157911
1741889692000,2025-03-14T03:14:52,120152000,120152000,120152000,120152000,0.00831863
1741889693000,2025-03-14T03:14:53,120152000,120152000,120150000,120152000,0.05923248
1741889695000,2025-03-14T03:14:55,120137000,120137000,120137000,120137000,0.01297866
1741889696000,2025-03-14T03:14:56,120137000,120137000,120137000,120137000,0.09246844
1741889699000,2025-03-14T03:14:59,120137000,120170000,120137000,120170000,0.16643088
1741889703000,2025-03-14T03:15:03,120100000,120167000,120100000,120167000,0.00697595
1741889704000,2025-03-14T03:15:04,120166000,120166000,120166000,120166000,0.00223514
1741889706000,2025-03-14T03:15:06,120100000,120100000,120100000,120100000,0.00202285
1741889707000,2025-03-14T03:15:07,120159000,120166000,120098000,120098000,1.56599162
1741889708000,2025-03-14T03:15:08,120098000,120098000,120010000,120010000,0.93438496
1741889711000,2025-03-14T03:15:11,120134000,120134000,120134000,120134000,0.0000887
1741889712000,2025-03-14T03:15:12,120127000,120127000,120127000,120127000,0.00033286
1741889717000,2025-03-14T03:15:17,120096000,120137000,120010000,120010000,0.63458407
1741889718000,2025-03-14T03:15:18,120010000,120010000,120010000,120010000,0.0098
1741889719000,2025-03-14T03:15:19,120010000,120010000,120010000,120010000,0.0065
1741889720000,2025-03-14T03:15:20,120010000,120088000,120010000,120088000,0.0066649
1741889721000,2025-03-14T03:15:21,120010000,120010000,120010000,120010000,0.17688567
1741889723000,2025-03-14T03:15:23,120092000,120092000,120010000,120010000,0.00196216
1741889724000,2025-03-14T03:15:24,120010000,120010000,120010000,120010000,0.0452
1741889725000,2025-03-14T03:15:25,120010000,120010000,120010000,120010000,0.0104057
1741889726000,2025-03-14T03:15:26,120010000,120010000,120010000,120010000,0.01165055
1741889727000,2025-03-14T03:15:27,120010000,120010000,120010000,120010000,0.23908108
1741889728000,2025-03-14T03:15:28,120010000,120010000,120010000,120010000,0.04431539
1741889730000,2025-03-14T03:15:30,120004000,120004000,120004000,120004000,0.00049998
1741889732000,2025-03-14T03:15:32,120004000,120010000,120004000,120010000,0.00582396
1741889734000,2025-03-14T03:15:34,120004000,120004000,120004000,120004000,0.00083263
1741889736000,2025-03-14T03:15:36,120003000,120004000,120003000,120004000,0.00134939
1741889739000,2025-03-14T03:15:39,120004000,120010000,120004000,120010000,0.00345217
1741889740000,2025-03-14T03:15:40,120003000,120003000,120001000,120001000,0.0409
1741889743000,2025-03-14T03:15:43,120001000,120001000,120001000,120001000,0.02627663
1741889744000,2025-03-14T03:15:44,120000000,120000000,120000000,120000000,0.1062
1741889745000,2025-03-14T03:15:45,120000000,120000000,120000000,120000000,0.25588018
1741889746000,2025-03-14T03:15:46,119996000,119996000,119959000,119959000,0.03810351
1741889749000,2025-03-14T03:15:49,119959000,119959000,119959000,119959000,0.00004465
1741889750000,2025-03-14T03:15:50,119944000,119944000,119932000,119932000,0.00008336
1741889751000,2025-03-14T03:15:51,119942000,119942000,119929000,119929000,0.00415501
1741889755000,2025-03-14T03:15:55,119959000,119959000,119959000,119959000,0.06668945
1741889756000,2025-03-14T03:15:56,119959000,119959000,119935000,119935000,0.0007307
1741889757000,2025-03-14T03:15:57,119935000,119935000,119935000,119935000,0.01755022
1741889758000,2025-03-14T03:15:58,119959000,119959000,119959000,119959000,0.00226576
1741889760000,2025-03-14T03:16:00,119959000,119959000,119959000,119959000,0.00113578
1741889761000,2025-03-14T03:16:01,119959000,119959000,119959000,119959000,0.00374091
1741889762000,2025-03-14T03:16:02,119959000,119959000,119929000,119929000,0.03962302
1741889763000,2025-03-14T03:16:03,119926000,119965000,119926000,119965000,0.00079194
1741889764000,2025-03-14T03:16:04,119918000,119918000,119900000,119900000,0.02979265
1741889765000,2025-03-14T03:16:05,119900000,119908000,119900000,119900000,0.0088
1741889768000,2025-03-14T03:16:08,119900000,119900000,119900000,119900000,0.00000733
1741889769000,2025-03-14T03:16:09,119896000,119900000,119896000,119900000,0.00044509
1741889770000,2025-03-14T03:16:10,119896000,119896000,119873000,119873000,0.0025
1741889772000,2025-03-14T03:16:12,119892000,119937000,119861000,119861000,0.11247411
1741889773000,2025-03-14T03:16:13,119861000,119861000,119861000,119861000,0.01590446
1741889774000,2025-03-14T03:16:14,119860000,119862000,119766000,119862000,0.29868611
1741889775000,2025-03-14T03:16:15,119880000,119894000,119880000,119894000,0.00130119
1741889778000,2025-03-14T03:16:18,119837000,119906000,119817000,119906000,0.09097078
1741889782000,2025-03-14T03:16:22,119873000,119873000,119873000,119873000,0.00254665
1741889783000,2025-03-14T03:16:23,119875000,119957000,119873000,119873000,0.4018053
1741889786000,2025-03-14T03:16:26,119957000,119957000,119957000,119957000,0.01184225
1741889789000,2025-03-14T03:16:29,119968000,119968000,119968000,119968000,0.00031978
1741889792000,2025-03-14T03:16:32,119997000,120010000,119997000,120010000,0.05819954
1741889795000,2025-03-14T03:16:35,120010000,120010000,120010000,120010000,0.08332638
1741889797000,2025-03-14T03:16:37,120010000,120010000,119963000,119963000,0.00108768
1741889798000,2025-03-14T03:16:38,120010000,120010000,119957000,119957000,0.00396148
1741889800000,2025-03-14T03:16:40,120010000,120010000,120010000,120010000,0.00008332
1741889804000,2025-03-14T03:16:44,120010000,120010000,120010000,120010000,0.00008332
1741889806000,2025-03-14T03:16:46,120010000,120010000,120010000,120010000,0.0001334
1741889807000,2025-03-14T03:16:47,119957000,119957000,119957000,119957000,0.0948
1741889808000,2025-03-14T03:16:48,119984000,119984000,119984000,119984000,0.00008332
1741889809000,2025-03-14T03:16:49,119957000,119957000,119956000,119956000,0.01768155
1741889810000,2025-03-14T03:16:50,119984000,119984000,119873000,119873000,0.00402396
1741889813000,2025-03-14T03:16:53,119873000,119873000,119873000,119873000,0.00005005
1741889817000,2025-03-14T03:16:57,119982000,119982000,119982000,119982000,0.0006474
1741889820000,2025-03-14T03:17:00,119982000,119982000,119982000,119982000,0.00142723
1741889821000,2025-03-14T03:17:01,119984000,119984000,119984000,119984000,0.01668432
1741889822000,2025-03-14T03:17:02,119982000,119982000,119982000,119982000,0.0014
1741889823000,2025-03-14T03:17:03,119982000,119982000,119982000,119982000,0.03152721
1741889826000,2025-03-14T03:17:06,119982000,119984000,119982000,119984000,0.07886791
1741889827000,2025-03-14T03:17:07,119984000,119984000,119984000,119984000,0.0097
1741889828000,2025-03-14T03:17:08,119987000,119987000,119987000,119987000,0.00005
1741889829000,2025-03-14T03:17:09,119987000,119987000,119984000,119984000,0.0027
1741889830000,2025-03-14T03:17:10,119984000,119984000,119984000,119984000,0.2148
1741889831000,2025-03-14T03:17:11,119984000,119984000,119984000,119984000,0.01805427
